02.12.2012 23:37:37   A1  0,0  A2  0,0  D1  0,0  D2  0,0
03.12.2012 01:25:01 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:02 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:03 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:04 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:05 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:06 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:07 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:08 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:09 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:10 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:11 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:12 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:13 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:14 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:15 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:16 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:17 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:18 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:19 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:32 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:33 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:34 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:35 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:36 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:37 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:38 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:39 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:40 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:25:46 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:32:27 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:32:38 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:32:39 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 01:32:40 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:06 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
